year,site,sp,reps,y1,y2,prim,sec,ncap
1,3,22,1,0,1,2,4,1
1,3,34,1,0,1,2,4,1
1,6,33,1,0,1,4,2,1
1,10,29,2,0,1,4,2,1
1,14,3,1,0,1,2,4,1
1,14,3,2,0,1,4,2,1
1,14,34,2,0,1,4,2,1
1,15,19,1,0,1,2,4,1
1,15,32,1,0,1,2,4,1
1,16,6,1,0,1,4,2,1
1,16,3,3,0,1,4,6,1
1,17,1,1,0,1,2,4,1
1,21,34,3,0,1,4,2,1
1,22,19,1,0,1,2,4,1
1,27,32,1,0,1,2,4,1
1,27,34,2,0,1,2,4,1
1,28,19,1,0,1,4,2,1
1,30,6,1,0,1,2,4,1
1,30,24,1,0,2,2,4,2
1,33,32,1,0,1,4,2,1
1,36,8,2,0,1,2,4,1
1,40,10,1,0,1,2,4,1
1,43,32,1,0,1,2,4,1
1,44,34,2,0,1,4,2,1
1,47,15,1,0,1,2,4,1
1,48,29,3,0,1,4,2,1
1,53,15,1,0,1,2,4,1
1,53,7,2,0,1,2,4,1
1,53,18,2,0,1,2,4,1
1,53,22,2,0,1,2,4,1
1,53,8,3,0,1,2,1,1
1,54,31,3,0,1,4,6,1
1,57,3,1,0,1,4,2,1
1,57,34,1,0,1,4,2,1
1,59,8,2,0,1,2,4,1
1,59,31,2,0,1,2,4,1
1,59,3,3,0,3,1,2,3
1,60,4,3,0,1,4,5,1
1,60,8,3,0,2,4,5,2
1,60,24,3,0,1,4,5,1
1,1,22,2,1,0,4,2,1
1,1,20,3,1,0,4,2,1
1,1,34,3,1,0,4,2,1
1,3,32,1,1,2,2,4,3
1,3,22,2,1,0,4,2,1
1,3,19,3,1,0,3,2,1
1,4,32,1,1,0,2,4,1
1,4,34,1,1,0,2,4,1
1,4,32,2,1,0,4,2,1
1,4,6,3,1,0,5,4,1
1,4,9,3,1,0,5,4,1
1,4,10,3,1,0,5,4,1
1,5,6,1,1,0,4,2,1
1,6,32,1,1,1,4,2,2
1,6,34,1,1,0,4,2,1
1,6,32,2,1,0,4,2,1
1,6,34,2,1,0,4,2,1
1,6,19,3,1,0,4,2,1
1,6,32,3,1,0,4,2,1
1,7,10,1,1,0,2,4,1
1,7,32,1,1,0,2,4,1
1,7,10,2,1,0,2,4,1
1,7,32,2,1,0,2,4,1
1,7,34,2,1,0,2,4,1
1,7,35,2,1,0,2,4,1
1,7,34,3,1,1,2,4,2
1,8,8,1,1,0,4,2,1
1,8,34,1,1,0,4,2,1
1,8,8,2,1,0,2,4,1
1,8,32,2,1,0,2,4,1
1,9,32,1,1,0,4,2,1
1,9,34,2,1,0,4,2,1
1,10,32,1,1,1,2,4,2
1,10,32,3,1,0,1,2,1
1,11,34,1,1,1,2,4,2
1,11,29,2,1,0,4,2,1
1,11,9,3,1,0,4,2,1
1,11,34,3,1,0,4,2,1
1,12,14,1,1,0,4,2,1
1,12,32,1,1,0,4,2,1
1,12,19,2,1,0,4,2,1
1,12,28,2,1,0,4,2,1
1,12,32,2,1,0,4,2,1
1,13,22,1,1,0,4,2,1
1,13,34,1,1,0,4,2,1
1,13,22,2,1,0,2,4,1
1,14,12,2,1,0,4,2,1
1,14,31,2,1,0,4,2,1
1,14,3,3,1,0,2,4,1
1,14,7,3,1,1,2,4,2
1,15,3,1,1,0,2,4,1
1,15,22,2,1,0,4,2,1
1,16,7,2,1,0,2,4,1
1,16,31,3,1,0,4,6,1
1,17,31,1,1,0,2,4,1
1,17,3,2,1,0,2,4,1
1,17,10,2,1,0,2,4,1
1,17,12,2,1,0,2,4,1
1,17,35,2,1,0,2,4,1
1,17,22,3,1,0,4,2,1
1,18,19,1,1,0,4,2,1
1,19,34,1,1,1,4,2,2
1,19,2,2,1,0,2,4,1
1,20,27,1,1,0,4,2,1
1,20,34,1,1,1,4,2,2
1,20,25,2,1,0,2,4,1
1,22,8,1,1,0,2,4,1
1,22,8,2,1,0,2,4,1
1,22,29,2,1,0,2,4,1
1,22,32,2,1,0,2,4,1
1,22,8,3,1,0,2,4,1
1,22,9,3,1,0,2,4,1
1,22,19,3,1,0,2,4,1
1,22,32,3,1,0,2,4,1
1,23,34,2,1,0,2,4,1
1,24,34,1,1,0,4,2,1
